date,read1_in,read2_in,read3_in,avg_in,spread_in,notes
2026-05-17,,,,47.0,,"PRE-CALIBRATION — not trend-comparable. Old protocol: rib-iliac midpoint, weekly, avg of two reads (individual reads not retained)."
2026-05-31,,,,47.5,,"PRE-CALIBRATION — not trend-comparable. Old protocol: rib-iliac midpoint, weekly, avg of two reads. Justin flagged technique variability here -> overhauled protocol. Daily navel-landmark sprint starts 6/1."
2026-06-01,47.0,47.5,,47.25,0.5,"SPRINT DAY 1 — first trend-comparable read. New protocol: mirror, top of navel, end of natural exhale. Spread 0.5 in."
2026-06-02,46.5,46.75,,46.625,0.25,"SPRINT DAY 2. Spread tightened to 0.25 in — technique steadying. Don't read the day-2 drop as fat loss; it's noise + glycogen. Watch the trailing line + spread."
2026-06-04,46.5,46.75,,46.625,0.25,"SPRINT DAY 4 (Day 3 not measured — hectic day, no penance). Identical to Day 2; spread holding 0.25 in. Technique now consistent — this is the calibration working."
2026-06-10,46.5,46.5,,46.5,0.0,"SPRINT DAY 10 (Days 5-9 not measured). Spread 0.0 — tightest yet. Avg ticks down 46.625 -> 46.5; technique locked in."
2026-06-17,46.0,46.25,,46.1,0.25,"POST-SPRINT (cadence now 2-3x/wk). 3 reads spanned 46.0-46.25 (exact third not individually reported); avg ~46.1, spread 0.25. New low on the waist line — ~1.1 in below sprint start (47.25 on 6/1). Now reads as real progress, not technique noise; corroborates the weight low."
2026-07-11,46.5,,,46.5,,"POST-VACATION baseline (single read). Only +0.4 in vs pre-trip 46.1 (6/17) despite the scale being ~+7 lb — DECOUPLING confirms the vacation gain was overwhelmingly water, not fat. Still ~0.75 in below sprint start (47.25). Scale trajectory: 7/8 241.5 (invalid/no-BM) -> 7/9 238.8 -> 7/10 236.8, clearing toward the ~235 trend."
2026-07-15,,,,46.25,,"Avg of 3 reads. Down from 46.5 (7/11) — settling back toward pre-vacation 46.1 as water clears. Corroborates the weight normalizing."
2026-07-23,,,,46.0,,"NEW LOW on the waist line (single-session read; prior low avg 46.1 on 6/17). -1.25 in from sprint start (47.25). Lands the same morning as new weight low 232.6 + new trailing low ~235.0 — all three signals agree: trend fully resumed post-vacation."
2026-07-31,,,,45.75,,"NEW LOW — consistent across several reads. -1.5 in from sprint start (47.25). Same morning as new weight low 231.0. Review day."
